,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
98,-18,14,272.7,99.2,0.7,172.7,,,,2967,0,1,245.6,101.8,0.6,143.2
99,-18,0,335.4,100.9,0.9,233.6,,,,2968,0,1,256.3,106.8,0.5,148.9
100,-18,0,329.1,98.7,0.5,230,,,,2969,0,1,248.7,103.1,0.8,144.8
101,-18,0,355.1,107.1,0.6,247.4,,,,2970,0,5,227.7,102.8,0.6,124.4
102,-18,7,308.3,103.9,0.5,203.9,,,,2971,0,5,242,106.1,0.7,135.2
103,-18,7,316.3,105.9,0.3,210,,,,2972,0,5,225.9,102.1,0.4,123.4
104,-18,7,313,103.7,0.6,208.7,,,,2973,0,13,182.8,98.2,0.8,83.8
105,-18,11,296.3,103.5,0.7,192.1,,,,2974,0,13,194.5,101.1,0.9,92.5
106,-18,11,285.1,100.8,0.4,183.9,,,,2975,0,13,192.1,100.7,0.8,90.5
107,-18,11,286.6,102.2,0.4,184,,,,2976,0,14,193.8,103.6,0.6,89.5
108,-18,4,327.5,103.6,0.7,223.2,,,,2977,0,14,194.7,103.8,0.9,90.1
109,-18,4,330.9,105.9,0.5,224.5,,,,2978,0,14,191.3,100.1,1,90.3
110,-18,4,331,105.7,0.4,225,,,,2979,0,0,255.1,103.9,0.4,150.7
111,-18,13,283.6,103.4,0.5,179.7,,,,2980,0,0,255.4,103.6,0.4,151.5
112,-18,13,285.3,103.4,0.7,181.1,,,,2981,0,0,253.2,104.2,0.3,148.7
113,-18,13,283.3,101.9,0.5,180.9,,,,2982,0,7,228.2,107,0.8,120.4
114,-18,16,271.3,103.1,0.5,167.7,,,,2983,0,7,223.2,104.3,0.7,118.2
115,-18,16,262,100.2,0.6,161.3,,,,2984,0,7,233.4,107.3,0.8,125.3
116,-18,16,269.8,98,1,170.8,,,,2985,0,11,205.8,104.8,0.7,100.3
117,-18,19,264,100.7,0.7,162.6,,,,2986,0,11,187.9,97,0.9,90
118,-18,19,261.6,99.6,0.6,161.4,,,,2987,0,11,200.5,101.5,0.8,98.2
119,-18,19,250.3,93.4,0.9,156,,,,2988,0,4,233.8,102.7,0.4,130.7
120,-6,18,208.7,100.9,0.8,107,,,,2989,0,4,233.4,102.3,0.6,130.5
121,-6,18,212.8,102.8,0.7,109.3,,,,2990,0,4,236.9,104.4,0.7,131.9
122,-6,18,217.8,104,1,112.8,,,,2991,0,13,194.2,103.5,0.7,90
123,-6,14,213.7,99.8,0.8,113.1,,,,2992,0,13,198.4,104.7,0.8,92.9
