,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
215,[],0,6809.8,0.0,0.8,6808.9
216,[],0,7423.8,0.0,0.9,7422.9
217,[],0,7212.2,0.0,0.6,7211.5
218,[],0,7241.7,0.0,0.6,7241.1
219,[],0,7366.7,0.0,0.5,7366.2
220,[],0,7020.0,0.0,0.6,7019.4
221,[],0,6978.4,0.0,0.3,6978.0
222,[],0,7023.8,0.0,0.6,7023.2
223,[],0,7001.9,0.0,0.5,7001.4
224,[],0,6768.0,0.0,0.8,6767.2
225,[],1,7197.7,0.0,0.7,7197.0
226,[],1,7482.6,0.0,0.6,7482.1
227,[],1,7381.9,0.0,0.5,7381.4
228,[],1,7053.7,0.0,0.6,7053.1
229,[],1,6897.3,0.0,0.7,6896.6
230,[],1,7260.7,0.0,0.5,7260.2
231,[],1,7016.2,0.0,0.8,7015.4
232,[],1,6766.7,0.0,0.7,6766.0
233,[],1,7469.5,0.0,0.4,7469.1
234,[],1,6823.9,0.0,0.8,6823.1
235,[],1,7313.5,0.0,0.7,7312.8
236,[],1,6682.4,0.0,0.8,6681.6
237,[],1,7259.9,0.0,0.5,7259.5
238,[],1,7250.0,0.0,0.8,7249.2
239,[],1,7253.1,0.0,0.7,7252.4
240,[],2,7209.3,0.0,0.6,7208.7
241,[],2,7334.6,0.0,0.5,7334.1
242,[],2,7454.0,0.0,0.6,7453.5
243,[],2,6768.7,0.0,0.8,6767.9
244,[],2,6862.1,0.0,0.9,6861.2
245,[],2,7495.6,0.0,0.6,7495.0
246,[],2,7389.3,0.0,0.6,7388.7
247,[],2,7761.3,0.0,0.4,7760.8
248,[],2,7293.4,0.0,0.6,7292.8
249,[],2,7346.4,0.0,0.5,7345.8
250,[],2,7034.7,0.0,0.5,7034.2
251,[],2,7224.8,0.0,0.6,7224.2
252,[],2,6763.9,0.0,0.9,6762.9
253,[],2,7174.7,0.0,0.5,7174.2
254,[],2,7457.2,0.0,1.0,7456.2
255,[],4,7548.1,0.0,0.6,7547.6
256,[],4,7604.0,0.0,0.6,7603.4
257,[],4,6741.5,0.0,0.6,6740.9
258,[],4,7136.1,0.0,0.4,7135.7
259,[],4,7418.1,0.0,0.4,7417.7
260,[],4,7637.2,0.0,0.7,7636.5
261,[],4,6302.9,0.0,0.8,6302.0
262,[],4,7652.3,0.0,0.5,7651.8
263,[],4,7518.6,0.0,0.7,7517.8
264,[],4,6810.7,0.0,0.8,6809.9
265,[],4,6847.5,0.0,0.6,6846.9
266,[],4,7280.7,0.0,0.9,7279.8
267,[],4,7060.6,0.0,0.7,7059.9
268,[],4,6741.1,0.0,0.5,6740.6
269,[],4,7187.7,0.0,0.8,7186.9
270,[],5,6840.0,0.0,0.7,6839.3
271,[],5,6940.5,0.0,0.7,6939.8
272,[],5,7332.6,0.0,0.5,7332.1
273,[],5,6907.7,0.0,0.8,6906.9
274,[],5,7414.7,0.0,0.7,7414.0
275,[],5,7540.7,0.0,0.8,7539.9
276,[],5,6978.1,0.0,0.6,6977.4
277,[],5,7363.1,0.0,0.5,7362.5
278,[],5,7388.0,0.0,0.4,7387.6
279,[],5,6808.2,0.0,0.8,6807.4
280,[],5,6904.5,0.0,0.5,6904.0
281,[],5,7231.6,0.0,0.7,7230.8
282,[],5,7094.5,0.0,0.6,7093.9
283,[],5,7602.2,0.0,0.6,7601.6
284,[],5,7004.6,0.0,0.5,7004.1
285,[],0,7517.9,0.0,0.7,7517.2
286,[],0,7013.2,0.0,0.5,7012.7
287,[],0,7152.6,0.0,0.7,7151.9
288,[],0,7068.2,0.0,0.7,7067.6
289,[],0,7340.9,0.0,0.6,7340.2
290,[],0,6942.8,0.0,0.5,6942.3
291,[],0,7739.5,0.0,0.7,7738.8
292,[],0,7144.7,0.0,0.4,7144.3
293,[],0,7117.8,0.0,0.8,7116.9
294,[],0,7046.5,0.0,0.7,7045.8
295,[],0,6845.1,0.0,0.7,6844.4
296,[],0,6859.1,0.0,1.2,6857.9
297,[],0,6430.4,0.0,1.0,6429.4
298,[],0,7035.1,0.0,0.7,7034.4
299,[],0,6920.3,0.0,0.7,6919.6
300,[],1,7410.1,0.0,0.9,7409.2
301,[],1,6786.3,0.0,0.8,6785.4
302,[],1,7028.2,0.0,0.5,7027.7
303,[],1,7191.7,0.0,0.7,7191.0
304,[],1,6993.8,0.0,0.5,6993.3
305,[],1,6757.9,0.0,0.7,6757.2
306,[],1,7164.5,0.0,0.6,7163.9
307,[],1,7321.3,0.0,0.6,7320.6
308,[],1,7056.1,0.0,0.8,7055.4
309,[],1,7152.4,0.0,0.6,7151.8
310,[],1,7386.5,0.0,0.7,7385.8
311,[],1,6978.9,0.0,0.6,6978.4
312,[],1,7049.0,0.0,0.5,7048.5
313,[],1,7227.3,0.0,0.6,7226.7
314,[],1,6713.9,0.0,0.7,6713.2
315,[],4,6892.2,0.0,0.7,6891.5
316,[],4,6848.2,0.0,0.6,6847.6
317,[],4,7240.5,0.0,0.6,7239.8
318,[],4,7333.6,0.0,0.6,7333.1
319,[],4,7047.0,0.0,0.6,7046.3
320,[],4,7074.4,0.0,0.7,7073.7
321,[],4,7107.9,0.0,0.5,7107.4
322,[],4,7163.3,0.0,0.6,7162.7
323,[],4,7453.9,0.0,0.3,7453.6
324,[],4,7365.0,0.0,0.7,7364.3
325,[],4,7328.7,0.0,0.6,7328.1
326,[],4,7430.9,0.0,0.5,7430.5
327,[],4,7526.2,0.0,0.5,7525.7
328,[],4,6641.7,0.0,0.8,6640.9
329,[],4,6968.2,0.0,0.5,6967.7
330,[],3,6853.2,0.0,0.9,6852.3
331,[],3,7315.6,0.0,0.6,7315.1
332,[],3,7134.5,0.0,0.6,7134.0
333,[],3,7003.6,0.0,0.8,7002.8
334,[],3,7159.4,0.0,0.4,7159.0
335,[],3,7145.2,0.0,0.6,7144.7
336,[],3,7616.1,0.0,0.5,7615.6
337,[],3,6820.6,0.0,0.4,6820.2
338,[],3,7658.5,0.0,0.5,7658.1
339,[],3,7268.2,0.0,0.6,7267.5
340,[],3,7613.0,0.0,0.6,7612.4
